遮瑕效果超级好，很亮，很白，很喜欢是我想要的,遮瑕效果|超级好,1
是正品，吸收也特别好一点也不油腻，保湿效果很好，值得购买,吸收|很好,0
购物好多次了，价格实惠质量不错，就喜欢这样的感觉,价格|实惠,1
与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,泡沫|很干净,0
几百块钱的产品里给我放个近期在里面，还说都是保质期三四年呢客服态度敷衍了事,客服态度|近期,0
物流很快，商品好。支持,物流|很快,1
物流很快，态度很好，面膜颜值很高，还没用不知道好不好,颜值|很高,1
这个是第二次买了，活动买很划算的，面膜也很好用,活动|很划算,1
很不错的面膜，***，很不错，很滋润，用了很水润，价格很实惠**很给力，到货速度很快，很满意，赞一个,到货速度|很实惠,0
个人情况：我是脸比较白的那种，没有感觉到有美白，吸收情况：吸收挺好的，整体描述：淡斑效果没感觉到，已经第三瓶了。，滋润及保湿：保湿还是可以,淡斑|可以,0
面膜收到了，包装的很好，没有破损！**商城的就是好，快递人员服务态度也很好，满意,包装|没有破损,1
补水不错，可是有点点过敏,补水|不错,1
很好的宝贝，非常喜欢，物流也快，服务很好，赞一下,服务|快,0
价格实惠，物流快,物流|实惠,0
挺好的，遮瑕效果好,遮瑕效果|好,1
挺好的，很喜欢在**购物，价格便宜，送货快，很方便,价格|便宜,1
双十一买的，价格划算，五分好评,价格|划算,1
很好用，很喜欢，个换用，很喜欢，物有所值，包装和快递都好，下次再买,快递|好,1
快递小哥很热情，送货速度很快，挺好的,快递小哥|很快,0
送货快，当天就到了，用着也还不错，有活动买着划算,活动|划算,1
宝贝已经收到了，很满意，价格也便宜,价格|便宜,1
比自己皮肤颜色稍微白一点，还是比较自然的，一点点可以用全脸,颜色|比较自然,1
上妆效果：还好吧,上妆效果|还好,1
宝贝收到了，迫不及待打开包装，味道很好，晚上试试，卖家好有爱，买一份送一份哦，还会继续购买的哦,卖家|好有爱,1
面膜很不错，补水挺好的，价格也很实惠，还送了三敷眼贴，很好用,价格|很实惠,1
很好，物流也很快，服务态度，很好,服务态度|很快,0
非常好的一款产品！使用没毛病，效果好，包装精美，送人自用都可以！！！推荐大家购买啊！！真的很好,包装|精美,1
收到了，遮瑕效果好，价格实惠，物有所值，开心，棒棒哒，会再次光临,遮瑕效果|好,1
同事双十一买的，没有单独的盒装包装，包装太简单了，就一塑料袋子,包装|太简单了,1
**物流真是神速，早上下单，下午就到了，晚上就可以用了，赞,物流|真是神速,1
包装很好，面膜还可以吧！帮老妈买的,包装|很好,1
用着舒服，补水效果也不错，价格实惠，以后还会光顾,价格|不错,0
用了两年这个了！非常喜欢她的味道！保湿效果很好，我很喜欢,味道|非常喜欢,1
一直在用***的面膜买了好多好多趟，用了几年快递特别快。爱你,快递|特别快,1
妆前隔离很好用啊，粉底有香味我不太喜欢有香味的怕熏到对象,隔离|很好用,1
使用过这个牌子的化妆品，还可以，**配送很给力，五分好评,配送|很给力,1
东西收到了非常满意，家里人也很开心，快递员也很好，好评,快递员|很好,1
第四瓶回购，皮肤是有白一点，淡斑是真没看出来,淡斑|真没看出来,1
快递迅速服务态度好使用效果非常棒，会一直支持的,服务态度|好,1
很喜欢，活动价格超值，真的很美丽啊，越来越觉得**好了,活动价格|超值,1
包装盒压扁了，快递很负责的让我打开看看有没有破损，第一次用这个牌子的护肤品，好用会回购的,包装盒|很负责,0
快递速度很快，服务态度很好,服务态度|很好,1
包装盒压扁了，快递很负责的让我打开看看有没有破损，第一次用这个牌子的护肤品，好用会回购的,快递|很负责,1
效果还不知道，收到就用了，补水可以就是味道太香了,补水|太香了,0
声明不是盗图，一下买了片，却下了两个单物流快，包装严实,包装|快,0
这个面膜，对得起这个价位，补水真的可以，特别是春季比较干燥，之前起了干皮，现在补水不敢大意,补水|真的可以,1
看测评入的，味道挺淡蛮好闻，涂上去还是觉得有点黏黏的，挺小只方便携带好用的话会回购,味道|蛮好闻,1
很好，很喜欢。建议购买。我还分了一盒给我妈，我觉得卸妆也挺好的，还有泡沫很多哦,泡沫|很多,1
比较显白，有一点淡淡的香味，发货速度挺快,香味|淡淡的,1
与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,发货|很干净,0
**速度快，物美价廉，服务好，值得推荐，还会再来,速度|好,0
还没用，不知道真假，验证了是真品，闻着味道也没错。双十一很便宜,味道|没错,1
第一次用的时候成膜有点慢，第二次的直接水后用，效果完美，带有一定的润色效果，会回购,成膜|有点慢,1
还可以，就是包装也太差了吧，包装,包装|太差了,1
物流快，价格便宜，昨晚今早各试用了一片，滋润补水，我是敏感皮肤用了没有任何不适，推荐购买,价格|快,0
物流速度特别特别快，卖家态度也不错！重点是代言人好！！！！！！喜欢,物流速度|特别快,1
物流很快，包装很严实，没有损坏。活动的时候买的，很划算。第一次买，期待效果,包装|很快,0
补水效果很好，味道也好闻,味道|很好,0
感谢客服的耐心，物流超快，虽然还没用，相信效果非常好,物流|耐心,0
物流很准时，快递员辛苦了,物流|很准时,1
宝贝收到了，迫不及待打开包装，味道很好，晚上试试，卖家好有爱，买一份送一份哦，还会继续购买的哦,卖家|很好,0
特别好的一款面膜，很滋润补水效果也不错，满分满分，以后继续买,补水效果|不错,1
物流很快，包装完好，心情美美的。活动价买的，多送了一个替换装,物流|很快,1
洁面乳收到了，质量很好，有一股淡淡的香味，清洁效果也好,香味|很好,0
味道不错，不紧绷,味道|不错,1
这几天用了保湿效果不错，是我想要的效果,保湿效果|不错,1
好用，味好闻,味|好闻,1
东西不错，大小也合适。补水效果不错呦,补水效果|不错,1
送货速度快包装很好,包装|快,0
一直都在用这个牌子，感觉很好用，价格亲民，上妆效果很好,价格|很好,0
宝贝很好，哑光效果，混油皮脱妆不严重，这个色号颜色偏深，建议小仙女买偏浅色的，总体感觉不错，推荐给大家,颜色|偏深,1
送货速度快包装很好,送货速度|很好,0
瓶子很漂亮很喜欢也很好用快递很快态度好,瓶子|很快,0
个人情况：中性批发，整体描述：包装完好，送了一块面膜，用着还行，清洁能力：洗不干净，不推荐使用,清洁能力|完好,0
还没有用，应该不错吧。就是这个日期不太好,日期|不太好,1
一直在**买东西，相信**的品质，送货很快，服务也很好,送货|很快,1
活动买的，补水效果很好，味道好闻,补水效果|很好,1
还好吧，量挺多的,量|挺多的,1
刚刚收到货，七号下单八号已收货，**物流超快服务到家，听朋友说增品不少，可我目前没收到,服务|没收到,0
宝贝收到了，迫不及待打开包装，味道很好，晚上试试，卖家好有爱，买一份送一份哦，还会继续购买的哦,味道|好有爱,0
很不错的，看着包装比较好，很喜欢，只是还没有试用，防晒的看起来有点小,包装|比较好,1
物流慢死，付款天才发货，买了几百块也没赠品,物流|慢死,1
个人情况：东西很棒买了两只泡沫挺多的味道有点香推荐入手,味道|挺多的,0
宝贝早上下单下午就收到了，**物流超快，东西很好，值得购买,物流|超快,1
效果还不知道，收到就用了，补水可以就是味道太香了,味道|还不知道,0
卖家发货很快，活动力度很大，很实惠,活动力度|很快,0
****值得信赖，价格比实体店实惠，是正品，物流快,价格|快,0
面膜感觉不错，价格实惠，值得购买，不错的一次购物，下次还会光临,价格|实惠,1
打开有股淡淡的香味，试用了一下还可以哦,香味|淡淡的,1
味道很不错，以前用过，现在又换回来了，期待一如以往的好用,味道|很不错,1
这个挺好用的，之前也是用的这个都是在店里买的，这次在网上买的也不错，脸比较干这个保湿效果还行,保湿效果|还行,1
一直在用这个牌子的面膜，刚好搞活动就买了，昨晚下的单，今天就到了。快递好，服务好,快递|好,1
用**一年多了，物流快，还有满减，很划算，多次购买了我，回头客,物流|快,1
持妆和控油效果都不错，遮暇一般般,遮暇|不错,0
隔离非常好用，有一点提亮肤色,隔离|非常好用,1
东西还是不错的，很喜欢！物流速度也快，老板人很好，老板娘也很漂亮，还送了小礼物！有需要还会再来！好评,老板|快,0
遮暇效果很好，美白效果也不错，就是味道有点太香，如果没有香味就更好了,味道|很好,0
挺好，泡沫丰富，洗的很干净,泡沫|丰富,1
一直用这个牌子，特别的好，快递也很快，给商家还有快递小哥一百个赞,快递|一百个赞,0
**的物流超快的，隔天就收到了，点个赞。面膜挺好用的，补水效果不错，价格很实惠，棒棒哒,物流|不错,0
做活动买一送一，价格实惠，第一次用这个面膜，挺好用的，补水效果不错，精华也很多，味道淡淡的,味道|淡淡的,1
补水效果特别好！好评！比实体店的价格优惠，物流也快！一直信赖**！还送了一个盒子,补水效果|特别好,1
好用，一直在用，第一次在**买，包装严实，**物流太棒了，刚好用完，物流快一天到货特别救急,包装|严实,1
东西不错，大小也合适。补水效果不错呦,补水效果|合适,0
味道非常好闻，用起来也特别服帖自然，感觉不错，产品价格也很合理,价格|非常好闻,0
物流超级给力，质量很好，价格也合适,价格|合适,1
感觉不错，去污力强,去污力|强,1
收到了，第二次购买，**没得说服务就是好，尤其是快递小哥服务态度特别好，给你个赞,服务|就是好,1
挺显白的，效果很好，很满意，物流也很给力，很愉快的一次购物,物流|很给力,1
做活动买一送一，价格实惠，第一次用这个面膜，挺好用的，补水效果不错，精华也很多，味道淡淡的,精华|淡淡的,0
此次活动超级合适，买了整整一大箱子，送货速度非常快！面膜的精华液很多！很好,活动|非常快,0
卸妆效果很一般嘛，而且包装也很简陋，不建议购买,卸妆效果|很简陋,0
宝贝质量不错，客服服务态度也不错。但是物流应该改进，到件几天也不派送，打客服电话也是敷衍了事,物流|不错,0
很好用，挺湿润的，不干。昨天下的单，今天就到。**物流就是给力,物流|给力,1
与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,发货|少,0
宝贝收到了，已经是老买主了，味道闻起还不错,味道|还不错,1
***的化妆品还是不错的，值得购买，性价比很高的活动就参加了,性价比|很高,1
一直**购物质量好，物流快，还会回购,物流|快,1
洗面奶泡沫不多，洗了还比较干净，也不紧绷，现在换了整套大红瓶，总体来说还可以，发货挺快的，好评,泡沫|挺快,0
这还是品牌的包装太差了,包装|太差了,1
面膜很好用，保湿效果很好。物美价廉，快递小哥送货速度快，态度很好,快递小哥送货速度|快,1
很多精华液，面膜纸是薄透的，期待效果，物流速度很快,物流速度|很多,0
购买方便，送货快,送货|快,1
**的物流真是超级快，东西还没用，赠品也不错,物流|不错,0
一直在用，感觉隔离效果不错，绿色显得皮肤很白,隔离效果|不错,1
挺不错的，很划算，物流很快,物流|很快,1
用了小样，泡泡很少，感觉清洁不是很够，但是真的很温和,泡泡|很少,1
这款面膜回购的，补水效果非常好,补水效果|非常好,1
**快递是蛮快的，就是包装太简便了吧，面膜里的精华都出来了,包装|蛮快的,0
快递迅速服务态度好使用效果非常棒，会一直支持的,快递|非常棒,0
水分不是很足,水分|不是很足,1
货已经收到！物流很快，快递小哥很热情！还没有用，期待很好用,物流|很快,1
虽然还没用，期待效果。包装真心不错，速度也快,包装|真心不错,1
发货速度快，头一天晚上发货第二天就到了,发货速度|快,1
很好用的面膜，补水保湿效果好，精华多，比较服帖，薄薄的，很舒服，值得购买,精华|多,1
明明写的唇眼可用，没想到那么辣眼睛，味道也刺鼻，太失望了,味道|刺鼻,1
一般般，还可以，价格不算贵！用起来一般般啦,价格|不算贵,1
宝贝质量很好，给全五分好评，服务态度也很棒，给个赞，物流神速，必须，好评,质量|神速,0
非常好。第一次买。用起来很好。很白。隔离效果很好。也不壳粉，以后会继续购买，送了赠品，都是正品,隔离效果|很好,1
做活动买一送一，价格实惠，第一次用这个面膜，挺好用的，补水效果不错，精华也很多，味道淡淡的,味道|实惠,0
非常不错，泡沫细腻，味道很好闻，棒棒哒,味道|细腻,0
肤色自然，提亮肤色，很细腻,肤色|自然,1
搞活动的时候买的挺便宜的用过后才来评价补水效果很好,活动|很好,0
我是混干皮，觉得还不错，遮瑕四星，持久度四星，也挺好上妆的，就是这个色号比我稍微暗一点，我本来就不算白，这个色号有点黑了,遮瑕|四星,1
假货名子都不一样，快要过期，一点遮瑕效果都没有，特别的干掉粉,遮瑕效果|没有,1
还不错，美容液比较丰富，滑滑的，面膜纸尺寸大小合适，非常服帖脸型，价格也不贵,价格|比较丰富,0
发货速度挺快的，价格便宜,发货速度|挺快的,1
做活动买一送一，价格实惠，第一次用这个面膜，挺好用的，补水效果不错，精华也很多，味道淡淡的,补水效果|实惠,0
活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西,泡沫|丰富,1
货已经收到！物流很快，快递小哥很热情！还没有用，期待很好用,快递小哥|很热情,1
朋友推荐的这款，第一次使用，很清爽保湿，有一点淡淡的香味，特别好闻,香味|特别好闻,1
好用，补水效果很好，女神节活动，很实惠,补水效果|很实惠,0
宝贝收到了，物流特别快，是我理想的,物流|特别快,1
东西收到，物流快,物流|快,1
很好用，温和不刺激，清洁力也不错，好评,清洁力|不错,1
宝贝到了，包装完整，打开后宝贝也很漂亮，味道也是很不错，满意,包装|完整,1
外观看上去做工粗糙，盖子是弯的，洗面奶很薄，几乎没泡泡，洗后没有清爽的感觉，觉得不值,外观|粗糙,1
面膜保湿效果不错，价格合理，值得购买，一直用这个牌子的,保湿效果|不错,1
双十一物流居然也第二天到，必须点赞,物流|点赞,1
上妆效果：容易上妆，个人情况：油性皮肤，持久情况：下午好像有点出油，整体描述：还不错，适合肤质：油性肤质,上妆效果|容易上妆,1
很好吸收，遮瑕不适合，但是隔离效果，挺好的，保湿度，一般般,隔离效果|挺好的,1
还可以，就想买这个，吸收挺好的，就是包装不是很好,吸收|挺好的,1
快递很快，很喜欢味道也还好，用完试试看怎么样，好的话继续回购，送了卸妆水，和面膜,快递|还好,0
收到了，物流很快呢，活动买的很划算哦,活动|很划算,1
第二次购买了，很温和。给朋友们推荐了，大家都说好用。就是没有礼盒包装，不开心,礼盒包装|没有,1
下午收到，刚刚敷了一片，很滋润挺好的，快递速度很快，快递员态度很好,快递员态度|很好,1
还没有用用了在来评价外表可以,外表|可以,1
我的皮肤是敏感皮肤，用过之后再来评价的，保湿美白效果很好，关键是不过敏，还回来回购的。五星好评,美白效果|很好,1
还行，精华多，护肤一套用，今年入的***水，乳，面霜面膜，期待用完效果,精华|多,1
质地柔软细腻，吸收也挺快，后期看看美白效果,吸收|挺快,1
价格优惠，东西挺好，很喜欢,价格|优惠,1
东西不错，是正品，价格便宜，送货快,送货|便宜,0
洗面奶不错，洗完脸不紧绷，泡沫细腻,泡沫|细腻,1
持久情况：不怎么挫泥，还好，防晒效果一般，物流多块的,物流|多块,1
试用了几天觉得还不错，味道跟以前也一样，个人觉得挺好用,味道|一样,1
很喜欢这款卸妆水，卸妆非常彻底。很干净，一点也不干，值得购买,卸妆|非常彻底,1
物流很快，性价比很高，好评！满意的一次购物,性价比|很快,0
面膜保湿效果不错，价格合理，值得购买，一直用这个牌子的,保湿效果|合理,0
控油效果：很好。清洁效果：很干净。泡沫丰富度：刚刚合适。保湿效果：保湿一整天。温和程度：很好,控油效果|一整天,0
脸上的斑很多，这款气垫遮暇效果还不错，推荐购买。图片是没有美颜的,遮暇效果|还不错,1
一直信赖***，化妆品面膜都是***，质量很好，价格便宜，发货很快呀,价格|很快,0
面膜超级划算，很喜欢**买东西，又便宜又快。购物体验很好！面膜也不错。补水效果不错,补水效果|不错,1
宝贝收到了，我要投诉快递员，服务态度不好，还反说我这个人说话不好听,服务态度|投诉,0
颜色好看，服务态度很好。物流快速。希望好用，下次再买,颜色|好看,1
第二次购买，物美价廉，效果不错挺好的，配送很快,配送|很快,1
宝贝收到了，活动促销买的，还没用，不知道效果如何，卖家发货比较慢，催了几次才发,发货|比较慢,1
用了第二片才来评论，补水效果还可以，是正品,补水效果|还可以,1
第一次在**上买东西，包装完好时间也快,包装|快,0
补水效果特别好，精华液也很多,精华液|特别好,0
量不多，这么一小瓶。遮瑕是假，提亮肤色是真，使用后皮肤稍微干燥。不过物流挺快第二天到货的,提亮肤色|是真,1
收到了，物流很快呢，活动买的很划算哦,物流|很快,1
送货快，服务好，非常棒,送货|好,0
一直用***面膜，这次优惠力度大，包装好看,优惠力度|大,1
还没开始使用，包装很漂亮，片可以用上一段日子了，等再来囤货,包装|很漂亮,1
做活动买的还挺划算的，包装很好，精华液也挺多的，效果嘛没什么突出的，就单纯补补水还吧,精华液|挺多的,1
看了评价买来试试，用了以后感觉保湿效果还是很不错的，搞活动买的，挺好的,保湿效果|很不错,1
上妆效果：有点假面，比较厚重，持久情况：很好，适合肤质：油皮,上妆效果|比较厚重,1
收到了，物流很快呢，活动买的很划算哦,活动|很快,0
活动买的很合适，用着很不错，店家服务也很好,店家服务|很合适,0
补水效果特别好！好评！比实体店的价格优惠，物流也快！一直信赖**！还送了一个盒子,物流|快,1
外观好看，收到试用了一下，很滋润，而且有淡淡清香味，很好闻，喜欢的宝宝们赶快下手吧,香味|很好闻,1
出乎意料的好哦，很衬肤色，味道也好,味道|好,1
包装完好，快递小哥服务很好，期待用后效果,快递小哥服务|完好,0
到货快，好用，补水隔离效果好，价格实惠，很划算很喜欢,价格|好,0
洁面乳收到了，质量很好，有一股淡淡的香味，清洁效果也好,清洁效果|好,1
大品牌值得信赖，**快递速度很快,快递速度|很快,1
包装精美，质量上乘，价格合理，值得购买,包装|合理,0
活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西,清洁|很彻底,1
速度值得点赞，商品质量五星好评,速度|值得点赞,1
东西很好，快递师傅态度也很多，不错的购物,快递师傅态度|很多,1
物美价廉，快递给力。味道淡淡的清香。挺好用的，泡沫细腻，不紧绷。趁着活动囤货,快递|给力,1
挺好用的，颜色比较均匀，用完还会回购,颜色|比较均匀,1
这个粉饼好用，送货快，包装盒完好，省时省力,送货|完好,0
**的物流真是超级快，东西还没用，赠品也不错,物流|超级快,1
还可以，就想买这个，吸收挺好的，就是包装不是很好,包装|挺好的,0
第一次用，听说很好用，抹在脸上微微有一点点白，成膜速度非常快，而且不油腻，很清爽很喜欢，应该会回购的，支持嘉娜宝,成膜速度|非常快,1
做活动买一送一，价格实惠，第一次用这个面膜，挺好用的，补水效果不错，精华也很多，味道淡淡的,价格|很多,0
量不多，这么一小瓶。遮瑕是假，提亮肤色是真，使用后皮肤稍微干燥。不过物流挺快第二天到货的,提亮肤色|挺快,0
起泡量属于少的那一种，咱也不知道洗干净没有，味道咱也不喜欢,味道|不喜欢,1
一直的老客户，发货飞快，质量不错，值得推荐,发货|不错,0
这个用了主要是不过敏，我是过敏肤质，试了一张保湿照顾还不错，天气干燥，这个必备,保湿照顾|还不错,1
清洁能力：泡沫很多，一搓就有，洗的挺干净的，味道也好闻，很温和,味道|好闻,1
卖家服务态度很好，宝贝很不错，物流也很快,服务态度|很快,0
一直用这个牌子，清洁能力：清洁能力挺好的，洗完不紧绷,清洁能力|挺好的,1
双十一买，客服不合格,客服|不合格,1
卸妆还不错赠品也是一样的还有卸妆棉,卸妆|还不错,1
物流很快，态度很好，面膜颜值很高，还没用不知道好不好,态度|很高,0
还可以，挺服帖的，味道也好闻，还会回购的,味道|好闻,1
宝贝很喜欢，价格也很合适，还会继续光顾，希望效果也很出众,价格|很合适,1
宝贝质量不错，客服服务态度也不错。但是物流应该改进，到件几天也不派送，打客服电话也是敷衍了事,客服服务态度|敷衍了事,0
帮同事买的洗面奶，老客户了，反馈还是一如既往的好，发货速度快，包装仔细，日期新鲜,日期|快,0
包装简陋，没有说明书。正品,说明书|没有,1
东西不错，是正品，价格便宜，送货快,送货|快,1
送货挺快，东西收到了看了看，还没用但愿是正品用了肌肤有所改善,送货|挺快,1
个人认为**的东西很棒！物流也很快,物流|很快,1
持久情况：不怎么挫泥，还好，防晒效果一般，物流多块的,持久情况|多块,0
包装很大气用着很服帖，外观也很漂亮,包装|很大气,1
很好的宝贝，非常喜欢，物流也快，服务很好，赞一下,物流|很好,0
洗面奶真心不错，洗完脸以后滑滑的非常舒服，物流也是超快的,物流|超快的,1
还没用呢，就是看着价位合适，先屯点,价位|合适,1
活动，折，不错,活动|不错,1
活动买的，看见评价都不错，瓶子很漂亮，但是瓶口没有密封口，有待改进,瓶子|很漂亮,1
价格便宜活动给力，夏天防晒配卸妆，不错。价格便宜活动给力，夏天防晒配卸妆，不错,价格|便宜,1
还没用一起片，包装就一个袋子，快递还可以吧咋天上午下单，今天下午到,快递|还可以,1
价格便宜活动给力，夏天防晒配卸妆，不错。价格便宜活动给力，夏天防晒配卸妆，不错,活动|给力,1
个人情况：中性批发，整体描述：包装完好，送了一块面膜，用着还行，清洁能力：洗不干净，不推荐使用,包装|完好,1
一如既往的回购，温和不刺激，保湿效果好，好评,保湿效果|好,1
个人干湿混合型，上妆比较滋润，相较其他遮瑕，没有那么强，比较轻薄。持久度还是挺ok的,上妆|挺ok的,0
几百块钱的产品里给我放个近期在里面，还说都是保质期三四年呢客服态度敷衍了事,保质期|近期,1
个人情况：我是脸比较白的那种，没有感觉到有美白，吸收情况：吸收挺好的，整体描述：淡斑效果没感觉到，已经第三瓶了。，滋润及保湿：保湿还是可以,保湿|挺好,0
宝贝补水效果明显，吸收迅速，满足冬季皮肤需求,吸收|明显,0
宝贝！很满意！快递小哥很礼貌,快递小哥|很礼貌,1
不好用，遮瑕效果不好，比较干，不保湿,遮瑕效果|不好,1
**发货送货很快，服务态度很好，质量值得信赖，好评,发货送货|很快,1
做了功课才来买的，成分很安全，用了一片后感觉效果不错，以后要常用啦,成分|很安全,1
一直是用这家的产品，包装很好，效果也很好。质量没的说，新产品试用时候再来评,包装|很好,1
物美价廉，快递给力。味道淡淡的清香。挺好用的，泡沫细腻，不紧绷。趁着活动囤货,味道|淡淡的清香,1
特意用眉笔，眼线液和口红做了个实验，卸妆效果一般般，眼线液和眉笔两遍可以卸掉，口红要卸遍，不会回购,卸妆效果|一般般,1
补水效果真的很明显，我用了一次同事都说皮肤好很多了,补水效果|很明显,1
面膜不错，水分精华很多，包装差劲，就一个透明带子装，没有包装盒,精华|很多,1
补水效果特别好！好评！比实体店的价格优惠，物流也快！一直信赖**！还送了一个盒子,补水效果|快,0
****值得信赖，价格比实体店实惠，是正品，物流快,价格|实惠,1
收到了，遮瑕效果好，价格实惠，物有所值，开心，棒棒哒，会再次光临,价格|实惠,1
一个大大的快递盒，一阵欣喜，以为送了不少赠品，然而并没有，哈哈，下次就换个小盒子好嘛,赠品|没有,1
气味重不好闻，持久度也不好，到中午脸色就蜡黄了,气味|不好闻,1
很不错，带了两个替换装，保湿效果不错，遮瑕效果很好。也不算太贵，能接受,保湿效果|很好,0
**快递速度快，性价比不错，好,性价比|不错,1
过母亲节送给妈妈的礼物，价钱合理，赠品很多，希望能达到预期的效果,价钱|合理,1
东西很好，质量不错玩，****用着放心，性价比高，值得购买,性价比|高,1
物流很快，包装很严实，没有损坏。活动的时候买的，很划算。第一次买，期待效果,物流|很快,1
这包装实在不行，还大品牌，还没用，用过之后再来评价,包装|不行,1
收到货了物流特别快隔离特别好,物流|特别快,1
粉质细，上妆轻薄透亮，紫色提亮肤色不夸张，物美价廉，会回购喜欢，要上加上防就更好了方便一瓶搞定,提亮肤色|透亮,0
好，一直用这个牌子的，双十一价位就很给力,价位|很给力,1
东西还是不错的，很喜欢！物流速度也快，老板人很好，老板娘也很漂亮，还送了小礼物！有需要还会再来！好评,物流速度|快,1
很清爽，不油腻，味道也喜欢，因为我都是淡妆，所以很干净，买一送一，还送了一大包卸妆棉，很划算,味道|喜欢,1
发货快，物流给力！早上十点下的单，下午四点多一点就到了,发货|给力,0
不错，送货速度超快，用了一次，感觉不错,送货速度|超快,1
包装太随便了吧连个包装盒都没有,包装盒|太随便了,0
很温和，卸妆也干净，感觉还不错,卸妆|干净,1
卸妆很干净，也不刺激，用完了还会再买,卸妆|很干净,1
价格便宜，也好使，在他家买过好几次东西了,价格|便宜,1
我经常在这家买，但这是的快递太不靠谱了，商家也不解决，只是一个劲的说这处理，以后不在这买了,快递|不解决,0
很不错包装也很好,包装|也很好,1
货收到了，快递很给力，一直用这款,快递|很给力,1
物流很快，包装完好，心情美美的。活动价买的，多送了一个替换装,包装|很快,0
控油效果一般，持久情况：持装效果大半天是没问题,持久情况|一般,0
控油效果：很好。清洁效果：很干净。泡沫丰富度：刚刚合适。保湿效果：保湿一整天。温和程度：很好,保湿效果|一整天,1
挺好用的，有淡淡的香味,香味|淡淡的,1
今天试试，精华液挺多多的值得购买哦,精华液|挺多多的,1
面膜收到了，包装的很好，没有破损！**商城的就是好，快递人员服务态度也很好，满意,包装|很好,0
送了十片玻尿酸面膜，小脸敷上去刚刚好很平整，而且敷完以后脸上很舒服，吸收也很快,吸收|很快,1
包装完整没有破损卖家服务态度好有问必答，多次购买还会再来,卖家服务态度|没有破损,0
感觉还可以，洗了脸不会紧绷，去油效果很好，用起来很舒服，泡泡多，味道清香，这个价格很划算,去油效果|很划算,0
物流小哥服务特别好，商家也不错给个五星好评吧！好不好用了再追评吧,商家|特别好,0
效果一点不好。洗不净。洗了脸上会比较油。不知道那么多好评哪里来的。欺骗消费者,效果|洗不净,1
商品价格合适，东西不错好用,价格|合适,1
宝贝质量很好，给全五分好评，服务态度也很棒，给个赞，物流神速，必须，好评,质量|很好,1
物流够快，还可以,物流|够快,1
看着不错和以前买的一样还没用快递小哥很给力服务很好,服务|很好,1
**就是棒，物流超快。价格相当实惠，没想到有那么大瓶。用的很好。干净,物流|超快,1
不错哦。速度很快，。以后就买****的了,速度|很快,1
宝贝收到了，挺好的，物流也特别快,物流|特别快,1
不错，很好用，客服也很细心，态度也非常好，我的问题都一一做了回答,态度|非常好,1
包装简陋，没有说明书。正品,说明书|简陋,0
赠品很好，用了后丝润光滑,赠品|很好,1
物流很快，态度很好，面膜颜值很高，还没用不知道好不好,态度|很快,0
保湿度很好，防晒效果不清楚,保湿度|很好,1
买给老妈和老姨的，老妈用这个挺长时间了，比较适合她的皮肤。双十一价格实惠！所以囤了两瓶,价格|实惠,1
不错哦。速度很快，。以后就买****的了,速度|很快,1
不错，物美价廉，收到就迫不及待的用了一片，补水效果不错，揭下面膜稍微拍几下就吸收了,补水效果|不错,1
效果还不知道，收到就用了，补水可以就是味道太香了,补水|可以,1
**产品送货快，产品质量有保证,送货|快,1
温和程度：很好。清洁效果：不错。控油效果：还行。泡沫丰富度：一般。保湿效果：挺可以,保湿效果|一般,0
购乳液顺便买了这面膜，价格不高，希望功能好,价格|不高,1
味道不错，效果很不错哦,味道|不错,1
第二次购买了，一直都是在**买的化妆品，面膜什么的，发货速度快，商品好，信赖,发货速度|快,1
一直用的这个牌子的，这款洗面奶感觉泡沫有点多，清洁力还行的,清洁力|还行的,1
紫色遮黄效果特别好，用完感觉气色都特别好,遮黄效果|特别好,1
第一次购买，特意用了以后评价的，味道不错，用着不油腻，总之挺好用的,味道|不错,1
包装很好，物流也快。很满意,包装|也快,0
很好吸收，遮瑕不适合，但是隔离效果，挺好的，保湿度，一般般,隔离效果|一般般,0
物流很快，态度很好，面膜颜值很高，还没用不知道好不好,态度|很好,1
还可以，就想买这个，吸收挺好的，就是包装不是很好,吸收|不是很好,0
很好，水份充足，保湿效果，棒,保湿效果|棒,1
送给婆婆的，她说还不错，补水效果还可以,补水效果|还可以,1
暂时给个好评，用了出效果再追评！查了是正品！客服态度也很好,客服态度|很好,1
用了一次就没有用了，味道太大了，接受不了还有感觉不服帖，感觉不高,味道|太大了,1
个人情况：混合性肌肤，整体描述：还行，滋润及保湿：保湿感觉差一些，有点干，吸收情况：属亚光，吸收还好,吸收|还好,1
活动时候很实惠，不错，很方便,活动|很实惠,1
买给我妈的，包装得到了她的青睐，滋润度对她来说正好，不过有一点点增白效果她不喜欢,增白效果|正好,0
补水效果好，用后脸水润润的，味道清香，易吸收，做活动买的，很划算,活动|清香,0
好用，可以尝试，补水不错,补水|不错,1
包装精美，天猫直送很给力，感谢丫头,天猫直送|精美,0
温和程度：很好。清洁效果：不错。控油效果：还行。泡沫丰富度：一般。保湿效果：挺可以,保湿效果|还行,0
发货速度挺快的，价格便宜,价格|便宜,1
